State,Year,Party,Candidate,Votes
KS,2020,Third Party,All Others,32257
KS,2024,Third Party,All Others,23243
KY,2004,Third Party,All Others,13710
KY,2008,Third Party,All Others,26173
KY,2012,Third Party,All Others,30652
KY,2016,Third Party,All Others,92324
KY,2020,Third Party,All Others,37648
KY,2024,Third Party,All Others,31714
LA,2004,Third Party,All Others,20638
LA,2008,Third Party,All Others,29497
LA,2012,Third Party,All Others,32662
LA,2016,Third Party,All Others,70240
LA,2020,Third Party,All Others,36252
LA,2024,Third Party,All Others,31600
MA,2004,Third Party,All Others,37479
MA,2008,Third Party,All Others,68034
MA,2012,Third Party,All Others,58163
MA,2016,Third Party,All Others,238957
MA,2020,Third Party,All Others,81998
MA,2024,Third Party,All Others,74037
MD,2004,Third Party,All Others,27482
MD,2008,Third Party,All Others,42267
MD,2012,Third Party,All Others,57614
MD,2016,Third Party,All Others,160349
MD,2020,Third Party,All Others,75593
MD,2024,Third Party,All Others,77191
ME,2004,Third Party,All Others,13709
ME,2008,Third Party,All Others,13967
ME,2012,Third Party,All Others,19598
ME,2016,Third Party,All Others,54599
ME,2020,Third Party,All Others,23652
ME,2024,Third Party,All Others,20956
MI,2004,Third Party,All Others,46323
MI,2008,Third Party,All Others,80548
MI,2012,Third Party,All Others,51136
MI,2016,Third Party,All Others,250902
MI,2020,Third Party,All Others,85410
MI,2024,Third Party,All Others,109335
